gold_tool_name,condition,num_tasks,tool_selection_accuracy,joint_exact_match_rate,avg_argument_validity,gold_tool_hit_rate,avg_gold_tool_rank
create_directory,raw_mcp,2,1.0,1.0,1.0,1.0,1.0
create_directory,schema_only,2,1.0,1.0,1.0,1.0,1.0
create_directory,retrieved_docs,2,1.0,1.0,1.0,1.0,1.0
create_directory,retrieved_candidates,2,1.0,1.0,1.0,1.0,1.0
create_directory,retrieved_memory,2,0.5,0.5,0.5,1.0,2.0
create_directory,autoskill_base,2,1.0,1.0,1.0,1.0,1.0
list_directory,raw_mcp,1,0.0,0.0,0.0,1.0,2.0
list_directory,schema_only,1,0.0,0.0,0.0,1.0,2.0
list_directory,retrieved_docs,1,0.0,0.0,0.0,1.0,3.0
list_directory,retrieved_candidates,1,0.0,0.0,0.0,1.0,2.0
list_directory,retrieved_memory,1,0.0,0.0,0.0,1.0,2.0
list_directory,autoskill_base,1,0.0,0.0,0.0,1.0,2.0
read_text_file,raw_mcp,5,1.0,0.6,0.8,1.0,1.0
read_text_file,schema_only,5,1.0,0.6,0.8,1.0,1.0
read_text_file,retrieved_docs,5,1.0,0.6,0.8,1.0,1.0
read_text_file,retrieved_candidates,5,1.0,0.6,0.9,1.0,1.0
read_text_file,retrieved_memory,5,1.0,0.6,0.9,1.0,1.0
read_text_file,autoskill_base,5,1.0,1.0,1.0,1.0,1.0
search_files,raw_mcp,5,0.6,0.4,0.5333,0.8,1.25
search_files,schema_only,5,0.6,0.4,0.5333,0.8,1.25
search_files,retrieved_docs,5,0.8,0.4,0.6667,1.0,1.4
search_files,retrieved_candidates,5,1.0,0.4,0.8,1.0,1.0
search_files,retrieved_memory,5,1.0,1.0,1.0,1.0,1.0
search_files,autoskill_base,5,1.0,1.0,1.0,1.0,1.0
write_file,raw_mcp,2,0.5,0.5,0.5,0.5,1.0
write_file,schema_only,2,0.5,0.5,0.5,0.5,1.0
write_file,retrieved_docs,2,0.0,0.0,0.0,0.5,3.0
write_file,retrieved_candidates,2,1.0,1.0,1.0,1.0,1.0
write_file,retrieved_memory,2,1.0,1.0,1.0,1.0,1.0
write_file,autoskill_base,2,1.0,1.0,1.0,1.0,1.0
